t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,mass,species,density_bins,quality
2015-02-11T21:59:26,1423691965.969176,476963943.856190,5056.353335,14934,717,csn,2.246072e+02,28,N2,3.400000,IV
2015-02-11T21:59:32,1423691971.970330,476963949.856787,5062.353335,14934,717,csn,2.214949e+02,28,N2,3.500000,IV
2015-02-11T21:59:36,1423691975.970120,476963953.857185,5066.353335,14934,717,csn,2.189400e+02,28,N2,3.600000,IV
2015-02-11T21:59:42,1423691981.971188,476963959.857781,5072.353335,14934,717,csn,2.164250e+02,28,N2,3.700000,IV
2015-02-11T21:59:46,1423691985.971093,476963963.858178,5076.353335,14934,717,csn,2.147688e+02,28,N2,3.800000,IV
2015-02-11T22:00:32,1423692031.976277,476964009.862750,5122.353335,14934,717,csn,2.045521e+02,28,N2,3.900000,IV
2015-02-11T22:00:36,1423692035.976147,476964013.863147,5126.353335,14934,717,csn,1.965177e+02,28,N2,4.000000,IV
2015-02-11T22:00:40,1423692039.977013,476964017.863546,5130.353335,14934,717,csn,1.895141e+02,28,N2,4.100000,IV
2015-02-11T22:00:44,1423692043.977022,476964021.863943,5134.353335,14934,717,csn,1.878790e+02,28,N2,4.200000,IV
2015-02-11T22:00:58,1423692057.979103,476964035.865335,5148.353335,14934,717,csn,1.843005e+02,28,N2,4.300000,IV
2015-02-11T22:01:06,1423692065.979041,476964043.866129,5156.353335,14934,717,csn,1.800725e+02,28,N2,4.400000,IV
2015-02-11T22:01:14,1423692073.980050,476964051.866925,5164.353335,14934,717,csn,1.771206e+02,28,N2,4.500000,IV
2015-02-11T22:01:20,1423692079.981253,476964057.867521,5170.353335,14934,717,csn,1.746168e+02,28,N2,4.600000,IV
2015-02-11T22:01:26,1423692085.981423,476964063.868117,5176.353335,14934,717,csn,1.725327e+02,28,N2,4.700000,IV
2015-02-11T22:01:44,1423692103.983019,476964081.869906,5194.353335,14934,717,csn,1.685510e+02,28,N2,4.800000,IV
2015-02-11T22:01:52,1423692111.984106,476964089.870702,5202.353335,14934,717,csn,1.644540e+02,28,N2,4.900000,IV
2015-02-11T22:02:02,1423692121.985101,476964099.871695,5212.353335,14934,717,csn,1.617871e+02,28,N2,5.000000,IV
2015-02-11T22:02:10,1423692129.986139,476964107.872490,5220.353335,14934,717,csn,1.592430e+02,28,N2,5.100000,IV
2015-02-11T22:02:22,1423692141.987070,476964119.873683,5232.353335,14934,717,csn,1.565742e+02,28,N2,5.200000,IV
2015-02-11T22:02:34,1423692153.988074,476964131.874876,5244.353335,14934,717,csn,1.535748e+02,28,N2,5.300000,IV
2015-02-11T22:02:44,1423692163.988964,476964141.875870,5254.353335,14934,717,csn,1.510237e+02,28,N2,5.400000,IV
2015-02-11T22:02:54,1423692173.989976,476964151.876864,5264.353335,14934,717,csn,1.488749e+02,28,N2,5.500000,IV
2015-02-11T22:03:04,1423692183.991045,476964161.877858,5274.353335,14934,717,csn,1.468862e+02,28,N2,5.600000,IV
2015-02-11T22:03:22,1423692201.992999,476964179.879647,5292.353335,14934,717,csn,1.443867e+02,28,N2,5.700000,IV
2015-02-11T22:03:36,1423692215.993987,476964193.881038,5306.353335,14934,717,csn,1.420637e+02,28,N2,5.800000,IV
2015-02-11T22:03:40,1423692219.995150,476964197.881436,5310.353335,14934,717,csn,1.410596e+02,28,N2,5.900000,IV
2015-02-11T22:04:54,1423692294.002002,476964271.888791,5384.353335,14934,717,csn,1.380545e+02,28,N2,6.000000,IV
2015-02-11T22:04:56,1423692296.002696,476964273.888990,5386.353335,14934,717,csn,1.366207e+02,28,N2,6.100000,IV
2015-02-11T21:58:38,1423691917.964735,476963895.851420,5008.353335,14934,717,csn,2.507681e+02,28,N2,6.200000,IV
2015-02-11T21:58:34,1423691913.964229,476963891.851022,5004.353335,14934,717,csn,2.555384e+02,28,N2,6.300000,IV
2015-02-11T21:58:22,1423691901.963321,476963879.849829,4992.353335,14934,717,csn,2.597706e+02,28,N2,6.400000,IV
2015-02-11T21:58:20,1423691899.963139,476963877.849630,4990.353335,14934,717,csn,2.675204e+02,28,N2,6.500000,IV
2015-02-11T21:58:14,1423691893.962259,476963871.849035,4984.353335,14934,717,csn,2.720215e+02,28,N2,6.600000,IV
2015-02-11T21:58:06,1423691885.961135,476963863.848239,4976.353335,14934,717,csn,2.777207e+02,28,N2,6.700000,IV
2015-02-11T21:57:42,1423691861.959221,476963839.845854,4952.353335,14934,717,csn,2.852814e+02,28,N2,6.800000,IV
2015-02-11T21:57:40,1423691859.958812,476963837.845655,4950.353335,14934,717,csn,2.872819e+02,28,N2,6.900000,IV
2015-02-11T21:57:36,1423691855.958128,476963833.845257,4946.353335,14934,717,csn,2.892930e+02,28,N2,7.000000,IV
2015-02-11T21:57:34,1423691853.958149,476963831.845059,4944.353335,14934,717,csn,2.966188e+02,28,N2,7.100000,IV
2015-02-11T21:57:30,1423691849.958324,476963827.844661,4940.353335,14934,717,csn,3.003767e+02,28,N2,7.200000,IV
2015-02-11T21:57:06,1423691825.955245,476963803.842276,4916.353335,14934,717,csn,3.107705e+02,28,N2,7.300000,IV
2015-02-11T21:57:02,1423691821.955336,476963799.841878,4912.353335,14934,717,csn,3.136320e+02,28,N2,7.400000,IV
2015-02-11T21:56:58,1423691817.954571,476963795.841481,4908.353335,14934,717,csn,3.157909e+02,28,N2,7.500000,IV
2015-02-11T21:56:56,1423691815.954165,476963793.841282,4906.353335,14934,717,csn,3.186897e+02,28,N2,7.600000,IV
